Director,Average Popularity Score
Christian Ackerman,0.701
Robert J. Massetti,0.6996666666666668
Michael Leo Centi,0.6890000000000001
Maria Lee Metheringham,0.685
Jason Sheedy,0.682
Andrew N. Shearer,0.6756
Joe Anton,0.6749999999999999
Ron Atkins,0.6732
John Pata,0.67
Mike O'Mahony,0.6685
Kevin Hicks,0.6663333333333333
Jason Stephenson,0.6616666666666666
Chris Woods,0.659
Joshua Erkman,0.6565000000000001
Joe Ripple,0.648
Sam Salerno,0.6473333333333333
Alan Davis,0.646
Denman Hatch,0.645
Sid Zanforlin,0.6436666666666667
Jakob Bilinski,0.6416666666666666
Richard Mogg,0.641
Mike Diva,0.6403333333333333
Jack Saint Hunter,0.63425
Ben Dixon,0.6312500000000001
Ken Brewer,0.631
Mikaela Bellamy,0.6307499999999999
Stephen Groo,0.6269999999999999
Josh Bulman,0.6246666666666666
Brad Leo Lyon,0.622
Constantine Nasr,0.619
Jeff Kirkendall,0.6176666666666667
William Victor Schotten,0.617
Brandon Singh,0.6140000000000001
Dave Castiglione,0.6120000000000001
Glenn Berggoetz,0.612
J.R. McGarrity,0.611
Christopher G. Moore,0.6065
Mario Cerrito III,0.6065
Calvin Jacob,0.6055
Richard Chandler,0.60525
Carl J. Sukenick,0.60425
